Title,Category,Description,Unit,Contact,Owner,Website,Affiliation,Status,Fee
Harvard Dataverse,"[""Publishing""]","Harvard Dataverse is a free, self-service data repository open to all researchers provided by any discipline, both inside and outside of the Harvard community, where you can share, archive, cite, access, and explore research data. Each individual dataverse is a customizable collections of datasets (or a virtual repository) for organizing, managing, and showcasing datasets. This resource is supported by the Harvard Library.",Institute for Quantitative Social Sciences (IQSS),support@dataverse.harvard.edu,Sonia Barbosa,https://support.dataverse.harvard.edu,"[""Public""]","[""Faculty; Staff; Graduate Students; Undergraduates; Public""]",No cost
Harvard Dataverse Curation,"[""Publishing""]","The Harvard Dataverse data curation team offers fee-based curation services to researchers around the world who are depositing data into Harvard Dataverse. Research data replication datasets, data for related publications, and all file types and domains are welcome in the Harvard Dataverse. Our curation services will ensure that your datasets are discoverable, accessible, interoperable, and reusable (FAIR).",Institute for Quantitative Social Sciences (IQSS) & Harvard Library,Katie Mika; katherine_mika@harvard.edu,Sonia Barbosa,https://support.dataverse.harvard.edu/curation-services,"[""Public""]","[""Faculty; Staff; Graduate Students; Undergraduates; Public""]",Yes
Harvard Dataverse Curation,"[""Publishing""]","Consultation, instruction, and full service fee-for-service options for members of the world-wide wishing to deposit their data into the Harvard Dataverse",Harvard Kennedy School Library,library_research@hks.harvard.edu,Christina Sirois,https://guides.library.harvard.edu/hks/data_resources,"[""Public""]","[""Faculty; Staff; Graduate Students; Undergraduates; Public""]",Yes
Harvard Kennedy School Research Dataverse,"[""Publishing""]",Available research space on Harvard Dataverse for members of the HKS community,Harvard Kennedy School Library,library_research@hks.harvard.edu,Corinne Wolfson,https://guides.library.harvard.edu/hks/data_resources,"[""HKS""]","[""Faculty; Graduate Students""]",No cost
Henry A. Murray Research Archive,"[""Acquisition""]","The Henry A. Murray Research Archive is Harvard's endowed repository for quantitative and qualitative research data at the Institute for Quantitative Social Science. Our collection comprises over 100 terabytes of data, audio, and video. We provide long-term preservation of all types of data of interest to the research community, including numerical, video, audio, interview notes, and other data. 
 
 Murray Archive is both a physical archive of analog research data and a digital collection of that data housed in Harvard Dataverse. IQSS provides consultation support for users interested in accessing the Murray Research Archive data",Institute for Quantitative Social Sciences (IQSS),"Barbosa, Sonia <sbarbosa@hmdc.harvard.edu>",Sonia Barbosa,https://murray.harvard.edu/,"[""Public""]","[""Faculty; Staff; Graduate Students; Undergraduates; Public""]",No cost
Japan Disasters Digital Archive,"[""Acquisition""]","he Japan Disasters Digital Archive (JDA) is an evolving, collaborative space for citizens, researchers, students, and policy makers, and a site of shared memory for those most directly affected by these events. The digital archive is an advanced search engine for archived materials from all over the web, individuals‚Äô testimonials, tweets, prominently including content from international partners who are building digital repositories about the disasters.

Provide workshops domestically and internationally and virtually around the creation of collections within the Japan Disasters Digital Archive and using the available data.",Japan Digital Research Center,"Matsuura, Katherine K. <kmatsuura@fas.harvard.edu>",Japan Digital Research Center,https://jdarchive.org/,"[""Public""]","[""Faculty; Staff; Graduate Students; Undergraduates; Public""]",No Cost
Kim Il Sung‚Äôs Autobiography Dataset,"[""Acquisition""]",We offer a dataset on Kim Il Sung‚Äôs Autobiography. This is a text dataset is only available in Korean. The data is available in through DVD-ROM that is available through the Harvard-Yenching Library.,Harvard-Yenching Library,Mikyung Kang - mlkang@fas.harvard.edu,Harvard-Yenching Library,http://id.lib.harvard.edu/alma/99153747309303941/catalog,"[""FAS; HGSE; GSD; HBS; HLS; HKS; HMS; HSDM; HSPH; SEAS""]","[""Faculty; Staff; Graduate Students; Undergraduates""]",No Cost
Metadata Creation,"[""Research Data Management""]",Metadata creation for images in Harvard's historical collections.,Fine Arts Library,"William Connor, Visual Resources Librarian, wsconnor@fas.harvard.edu","William Connor, Visual Resources Librarian",https://library.harvard.edu/collections/digital-images-and-slides-collection,"[""FAS; HGSE; GSD; HBS; HLS; HKS; HMS; HSDM; HSPH; SEAS""]","[""Faculty; Staff; Graduate Students; Undergraduates""]",Other
Metadata Creation,"[""Research Data Management""]","Provide a variety of RDM services to biomedical researchers within the context of projects conducted by members of the Longwood Medical Area community, including data finding and acquisition, metadata creation, and ontology management. These services require funding provided by the project (e.g. grant sources).",Countway Library,julie_goldman@hms.harvard.edu,Julie Goldman,https://countway.harvard.edu/services/publishing-data-services/data-services,"[""HMS; HSDM; HSPH""]","[""Faculty; Staff; Graduate Students""]",Yes
Metadata Creation,"[""Research Data Management""]",Full service options for creating standards-based metadata for research data,Harvard Kennedy School Library,library_research@hks.harvard.edu,Christina Sirois,https://guides.library.harvard.edu/hks/data_resources,"[""HKS""]","[""Faculty; Graduate Students""]",No cost
Metadata Support,"[""Research Data Management""]",Instruct students and other users who need assistance with describing their research data. Metadata support offered in collaboration with the Archives and Records Management Program of the Center for the History of Medicine.,Countway Library,julie_goldman@hms.harvard.edu,Julie Goldman,https://countway.harvard.edu/services/publishing-data-services/data-services,"[""HMS; HSDM; HSPH""]","[""Faculty; Staff; Graduate Students""]",No cost
Metadata Support,"[""Research Data Management""]","Consultation and/or instruction for Harvard University Herbaria (HUH) faculty, staff or graduate students wishing to create standards-based metadata for research data",Botany Libraries,botref@oeb.harvard.edu,Diane Rielinger,https://huh.harvard.edu/libraries,"[""FAS""]","[""Faculty; Staff; Graduate Students; Undergraduates""]",No Cost
Metadata Support,"[""Research Data Management""]",Instruct students and other users who need assistance with describing their research data,Frances Loeb Library,Bruce Boucek; bboucek@gsd.harvard.edu,Bruce Boucek,https://www.gsd.harvard.edu/frances-loeb-library/,"[""GSD""]","[""Graduate Students""]",No cost
Metadata Support,"[""Research Data Management""]",Consultation and/or instruction for clients wishing to create standards-based metadata for research data,Harvard Kennedy School Library,library_research@hks.harvard.edu,Christina Sirois,https://guides.library.harvard.edu/hks/data_resources,"[""HKS""]","[""Faculty; Graduate Students""]",No cost
Computational Methods Support,"[""Processing; Analysis""]",The Wolbach Library sponsors both in-person and virtual training events on research computing topics like code optimization and HPC basics.,Wolbach Library,library@cfa.harvard.edu,Daina Bouquin,https://library.cfa.harvard.edu/trainingevents,"[""Public""]","[""Faculty; Staff; Graduate Students; Undergraduates; Public""]",No Cost
ArcGIS,"[""Analysis"",""Processing""]","Providing Geographical information systems (GIS) and mapping tools for students such as SimplyAnalysitcs, Policy Map, Social Explorer, ArcGIS Desktop Licenses, Google Earth Pro, SketchUp Pro, Rhino Terrain. Offering includes ArcGIS Desktop and Pro, and ArcGIS Online.",Frances Loeb Library,Bruce Boucek; bboucek@gsd.harvard.edu,Bruce Boucek,https://guides.library.harvard.edu/gsd/gis/software,"[""GSD""]","[""Graduate Students""]",No cost
ArcGIS,"[""Processing; Analysis""]",Access to ArcGIS software tools; consultation is available in preparing data for analysis and orientation to the software.,Harvard Kennedy School Library,library_research@hks.harvard.edu,Alessandra Seiter,https://guides.library.harvard.edu/hks/data_resources,"[""HKS""]","[""Faculty; Graduate Students""]",No cost
ArcGIS,"[""Processing; Analysis""]","Librarians in the The Harvard Map Collection have expertise working with many geographic and cartographic software packages for the purposes of analysis and visualization, including: ArcGIS (available for Harvard affiliates to download)
 QGIS
 Google Earth
 These programs are installed on workstations in the Map Collection Reading Room as well as the Media Lab on level B in Lamont Library, just down the hall.",Harvard Map Collection,maps@harvard.edu,Scott Walker,https://library.harvard.edu/services-tools/digital-mapping-and-gis-support,"[""FAS; HGSE; GSD; HBS; HLS; HKS; HMS; HSDM; HSPH; SEAS""]","[""Faculty; Staff; Graduate Students; Undergraduates""]",No cost
Architectural Data Support,"[""Processing"",""Analysis""]","Consultations for, instruction about, and transformation of licensed data for student use",Frances Loeb Library,Bruce Boucek; bboucek@gsd.harvard.edu,Bruce Boucek,https://guides.library.harvard.edu/gsd/gis/software,"[""GSD""]","[""Graduate Students""]",No cost
China GeoExplorer,"[""Acquisition""]",The Harvard Library subscribes to many different online cartographic data exploration platforms. Librarians from the Map Collection can help you determine which application contains the right data and tools for your research needs.,Harvard Map Collection,maps@harvard.edu,Scott Walker,https://guides.library.harvard.edu/gsd/gis/software,"[""FAS; HGSE; GSD; HBS; HLS; HKS; HMS; HSDM; HSPH; SEAS""]","[""Faculty; Staff; Graduate Students; Undergraduates""]",No cost
Data Cleaning,"[""Processing""]","Baker Library's deep expertise with the licensed and publicly available databases, as well as print collections, enables us to efficiently and effectively download, scrape, merge, and clean data provided by disparate sources.
 We offer services for:
 Downloading data provided by licensed and publicly available sources
 Batch article searching to capture counts of keywords or article citations
 Scraping data provided by the web
 Pulling historical data provided by disparate electronic and print sources and collating it into databases (e.g. company founding dates)
 Screening, merging, and subsetting existing data sources excludes surveys and human subjects experiments",Baker Library,"Baker Research Services (BRS)
 Alex Caracuzzo, Senior Manager, Baker Research Services
 acaracuzzo@hbs.edu",Alex Caracuzzo,https://www.library.hbs.edu/Services/Data-Creation-Data-Collection,"[""HBS""]","[""Faculty""]",Yes
Data Cleaning,"[""Processing""]","Arevik Avedian (Empirical Research Services) provides full data cleaning services to faculty inclusive of data collection/prep (cleaning, reformatting, merging, scraping) for analyzing, visualization and reporting.",Harvard Law School Library,"Arevik Avedian, aavedian@law.harvard.edu; Michelle Pearse, mpearse@law.harvard.edu","Empirical Research Services, Research Services",https://hls.harvard.edu/library/empirical-research-services/; http://asklib.law.harvard.edu,"[""HLS""]","[""Faculty""]",No cost
Data Cleaning,"[""Processing""]",Our librarians' experience with the most common data formats and their pitfalls allows us to make difficult data usable in GIS software. This could be cleaning data codes to match standard forms and adjusting addresses so they can be transformed into latitude and longitude coordinates,Harvard Map Collection,maps@harvard.edu,Scott Walker,https://library.harvard.edu/services-tools/digital-mapping-and-gis-support,"[""FAS; HGSE; GSD; HBS; HLS; HKS; HMS; HSDM; HSPH; SEAS""]","[""Faculty; Staff; Graduate Students; Undergraduates""]",No cost
Data Cleaning Support,"[""Processing""]",We offer consultations on process of cleaning and preparing data prior to analysis and/or visualization.,"Harvard College Library, Services for Academic Programs (SAP)",Jess Cohen-Tanugi; jessica_cohen-tanugi@harvard.edu,Jess Cohen-Tanugi and Hugh Truslow,https://library.harvard.edu/services-tools/visualization-support,"[""FAS; HGSE; GSD; HBS; HLS; HKS; HMS; HSDM; HSPH; SEAS""]","[""Faculty; Staff; Graduate Students; Undergraduates""]",No cost
Data Cleaning Support,"[""Processing""]",Consultations and regular office hours on issues of data cleaning.,Digital Scholarship Support Group,dssg@fas.harvard.edu,Digital Scholarship Support Group Standing Committee,https://dssg.fas.harvard.edu/initiatives/research/,"[""FAS; HGSE; GSD; HBS; HLS; HKS; HMS; HSDM; HSPH; SEAS""]","[""Faculty; Staff; Graduate Students; Undergraduates""]",No cost
Data Cleaning Support,"[""Processing""]",Individual and small group consultations to members of the Longwood Medical Area community about data cleaning and the use of tools such as OpenRefine.,Countway Library,julie_goldman@hms.harvard.edu,Julie Goldman,https://countway.harvard.edu/services/publishing-data-services/data-services,"[""HMS; HSDM; HSPH""]","[""Faculty; Staff; Graduate Students""]",No cost
Data Cleaning Support,"[""Processing""]",Michelle Pearse (Research Services) provides consultation to students on data cleaning,Harvard Law School Library,"Michelle Pearse, mpearse@law.harvard.edu",Research Services,http://asklib.law.harvard.edu,"[""HLS""]","[""Graduate Students""]",No cost
Data Handling Support,"[""Processing; Analysis""]","We offer consultations on using data in research projects, including reformatting and restructuring data to use with a range of tools.","Harvard College Library, Services for Academic Programs (SAP)",Jess Cohen-Tanugi; jessica_cohen-tanugi@harvard.edu,Jess Cohen-Tanugi and Hugh Truslow,https://library.harvard.edu/services-tools/visualization-support,"[""FAS; HGSE; GSD; HBS; HLS; HKS; HMS; HSDM; HSPH; SEAS""]","[""Faculty; Staff; Graduate Students; Undergraduates""]",No cost
Data Handling Support,"[""Processing; ResearchDataManagement""]",Consultations and regular office hours on issues of managing data.,Digital Scholarship Support Group,dssg@fas.harvard.edu,Digital Scholarship Support Group Standing Committee,https://dssg.fas.harvard.edu/initiatives/research/,"[""FAS; HGSE; GSD; HBS; HLS; HKS; HMS; HSDM; HSPH; SEAS""]","[""Faculty; Staff; Graduate Students; Undergraduates""]",No cost
Data Handling Support,"[""Processing; ResearchDataManagement""]",Consultations and instruction for using image data,Fine Arts Library,"William Connor, Visual Resources Librarian, wsconnor@fas.harvard.edu","William Connor, Visual Resources Librarian",https://library.harvard.edu/collections/digital-images-and-slides-collection,"[""FAS; HGSE; GSD; HBS; HLS; HKS; HMS; HSDM; HSPH; SEAS""]","[""Faculty; Staff; Graduate Students; Undergraduates""]",No cost
Data Handling Support,"[""Processing""]",Individual and small group consultations to members of the Longwood Medical Area community about reformatting data for research purposes.,Countway Library,julie_goldman@hms.harvard.edu,Julie Goldman,https://countway.harvard.edu/services/publishing-data-services/data-services,"[""HMS; HSDM; HSPH""]","[""Faculty; Staff; Graduate Students""]",No cost
Data Handling Support,"[""Processing""]","Consultations for, instruction about, and transformation of licensed data for student use",Frances Loeb Library,Bruce Boucek; bboucek@gsd.harvard.edu,Bruce Boucek,https://guides.library.harvard.edu/gsd/gis/software,"[""GSD""]","[""Graduate Students""]",No cost
Data Handling Support,"[""Processing; ResearchDataManagement""]",Instruction and support for practices and procedures involving handling data,Gutman Library,Lindsay Whitacre lindsay_whitacre@gse.harvard.edu,Lindsay Whitacre,,"[""HGSE""]","[""Faculty; Staff; Graduate Students""]",No cost
Data Handling Support,"[""Processing; ResearchDataManagement""]",Consultations and instruction for using data,Harvard Kennedy School Library,library_research@hks.harvard.edu,Christina Sirois,https://guides.library.harvard.edu/hks/data_resources,"[""HKS""]","[""Faculty; Staff; Graduate Students""]",No cost
Data Visualization,"[""Visualization""]",Arevik Avedian (Empirical Research Services) provides full services to faculty for Data visualization creation and support for faculty research projects,Harvard Law School Library,"Arevik Avedian, aavedian@law.harvard.edu; Michelle Pearse, mpearse@law.harvard.edu","Empirical Research Services, Research Services",https://hls.harvard.edu/library/empirical-research-services/; http://asklib.law.harvard.edu,"[""HLS""]","[""Faculty""]",No cost
Data Visualization Support,"[""Visualization""]","We're here to help and offer several modalities for support for data visualization in research and teaching. In particular this means a range of workshops offering on topics in visualization, as well as individual consultations for researchers and in-class sessions. We support a range of visualization tools and needs, from simple web-based tools to R, with a particular focus on teaching Tableau.","Harvard College Library, Services for Academic Programs (SAP)",Jess Cohen-Tanugi; jessica_cohen-tanugi@harvard.edu,Hugh Truslow and Diane Sredl,https://library.harvard.edu/services-tools/visualization-support,"[""FAS; HGSE; GSD; HBS; HLS; HKS; HMS; HSDM; HSPH; SEAS""]","[""Faculty; Staff; Graduate Students; Undergraduates""]",No cost
Data Visualization Support,"[""Visualization""]","Individual and small group consultations to members of the Longwood Medical Area community about data visualization, focusing on tools available and referrals to specialized support.",Countway Library,julie_goldman@hms.harvard.edu,Julie Goldman,https://countway.harvard.edu/services/publishing-data-services/data-services,"[""HMS; HSDM; HSPH""]","[""Faculty; Staff; Graduate Students""]",No cost
Data Visualization Support,"[""Visualization""]",Data visualization consultations for faculty and students,Frances Loeb Library,Bruce Boucek; bboucek@gsd.harvard.edu,Bruce Boucek,https://guides.library.harvard.edu/gsd/gis/software,"[""GSD""]","[""Faculty; Staff; Graduate Students""]",No cost
Data Visualization Support,"[""Visualization""]",Consultations and referrals for textual data visualization,Gutman Library,Carol Kentner (carol_kentner@gse.harvard.edu),Carol Kentner,,"[""HGSE""]","[""Faculty; Staff; Graduate Students""]",No cost
Data Visualization Support,"[""Visualization""]",Michelle Pearse (Research Services) provides consultation to students on Data visualization creation,Harvard Law School Library,"Michelle Pearse, mpearse@law.harvard.edu",Research Services,http://asklib.law.harvard.edu,"[""HLS""]","[""Graduate Students""]",No cost
Digital Tool Kit,"[""Processing; Analysis""]","This section covers various software useful in launching a digital project, as well as programs that support the overall research process. Not all software is specific to working with Japanese, but all can accommodate multilingual work in some way. If you have a project you would like to see featured, please let us know.",Japan Digital Research Center,"Matsuura, Katherine K. <kmatsuura@fas.harvard.edu>",Japan Digital Research Center,https://projects.iq.harvard.edu/jdrc/digital-toolkit,"[""Public""]","[""Faculty; Staff; Graduate Students; Undergraduates; Public""]",No Cost
Extended Reality (XR) Support,"[""Processing; Analysis""]","Deployment of alternate reality/virtual reality (AR/VR) in instructional settings, including equipment access and deployment support; custom pedagogy; and assessment mechanisms for determining (and publishing on) the impact of XR in the classroom.",Harvard Library Digital Scholarship Program,matt_cook@harvard.edu,HL Digital Scholarship Program Manager,https://library.harvard.edu/staff/matt-cook,"[""FAS; HGSE; GSD; HBS; HLS; HKS; HMS; HSDM; HSPH; SEAS""]","[""Faculty; Staff; Graduate Students; Undergraduates""]",No Cost
Geospatial Data Analysis,"[""Analysis""]",Arevik Avedian (Empirical Research Services) provides full services to faculty for Geospatial analysis and visualization using ArcGIS,Harvard Law School Library,"Arevik Avedian, aavedian@law.harvard.edu; Michelle Pearse, mpearse@law.harvard.edu","Empirical Research Services, Research Services",https://hls.harvard.edu/library/empirical-research-services/; http://asklib.law.harvard.edu,"[""HLS""]","[""Faculty""]",No cost
Geospatial Data Creation,"[""Acquisition; Processing; Visualization""]",The Harvard Map Collection librarians' deep understanding of working with maps in paper form enables us to efficiently and accurately transform the paper maps into infomatiovev visualizations and actionable geospatial digital data throught georeferencing and vectorization.,Harvard Map Collection,maps@harvard.edu,Bonnie Burns,https://library.harvard.edu/services-tools/digital-mapping-and-gis-support,"[""FAS; HGSE; GSD; HBS; HLS; HKS; HMS; HSDM; HSPH; SEAS""]","[""Faculty; Staff; Graduate Students; Undergraduates""]",No cost
Geospatial Data Support,"[""Processing; Analysis""]",Geographical information systems (GIS) and mapping instruction for students.,Frances Loeb Library,Bruce Boucek; bboucek@gsd.harvard.edu,Bruce Boucek,https://guides.library.harvard.edu/gsd/gis AND https://guides.library.harvard.edu/c.php?g=310684%26p=3514743,"[""GSD""]","[""Graduate Students""]",No cost
Geospatial Data Support,"[""Acquisition; Processing; Analysis""]","Consultations on finding and preparing geospatial data for use and Instruction for geospatial data training for researchers. More general research data analysis support: Consultations and/or instruction associated with all types of data analysis, including qualitative, quantitative, and text analysis and education on software for that purpose such as ArcGIS,PolicyMap, Social Explorere, R, nVivo, Stata, Tableau, and OpenRefine.",Harvard Kennedy School Library,library_research@hks.harvard.edu,Alessandra Seiter and Christina Sirois,https://guides.library.harvard.edu/hks/data_resources,"[""HKS""]","[""Faculty; Staff; Graduate Students""]",No cost
Geospatial Data Support,"[""Processing; Analysis""]",Michelle Pearse (Research Services) provides consultation to students for Geospatial analysis and visualization using ArcGIS,Harvard Law School Library,"Arevik Avedian, aavedian@law.harvard.edu; Michelle Pearse, mpearse@law.harvard.edu","Empirical Research Services, Research Services",https://hls.harvard.edu/library/empirical-research-services/; http://asklib.law.harvard.edu,"[""HLS""]","[""Faculty""]",No cost
Geospatial Data Support,"[""Processing; Analysis""]","Consultation, instruction of analog geospatial materials (paper maps) and geoenabled standard tabular data for use in a variety of digital applications, including GIS analysis. We will teach you to geoenable standard tabular data through address matching or joining tables to geoographies based on common fields.
 We offer services from planning your analysis to defining the most appropriate tool to visualizing the output. To do this, we can support a number of the most common spatial tools, including ArcGIS, QGIS, Google Earth, and Tableau",Harvard Map Collection,maps@harvard.edu,Scott Walker,,"[""FAS; HGSE; GSD; HBS; HLS; HKS; HMS; HSDM; HSPH; SEAS""]","[""Faculty; Staff; Graduate Students; Undergraduates""]",No cost
Google Earth,"[""Processing; Analysis""]","Providing Geographical information systems (GIS) and mapping tools for students such as SimplyAnalysitcs, Policy Map, Social Explorer, ArcGIS Desktop Licenses, Google Earth Pro, SketchUp Pro, Rhino Terrain. Offering includes Google Earth Pro and Google Maps",Frances Loeb Library,Bruce Boucek; bboucek@gsd.harvard.edu,Bruce Boucek,https://guides.library.harvard.edu/gsd/gis/software,"[""GSD""]","[""Graduate Students""]",No cost
Google Earth,"[""Processing; Analysis""]",Google Earth is the most easy to use and familiar geospatial tool for many faculty and students. We can teach you the more advanced aspects of this tool for visualization.,Harvard Map Collection,maps@harvard.edu,Scott Walker,https://library.harvard.edu/services-tools/digital-mapping-and-gis-support,"[""FAS; HGSE; GSD; HBS; HLS; HKS; HMS; HSDM; HSPH; SEAS""]","[""Faculty; Staff; Graduate Students; Undergraduates""]",No cost
Harvard Geospatial Library,"[""Acquisition""]","Search and download regional and local geographical data and georeferenced scanned paper maps
 The Harvard Geospatial Library (HGL) is a place to search for and download many types of geospatial data. Data sets are available provided by around the world at various scales, provided by global to local. Each data set is delivered with complete metadata, making it easier to add to a GIS (geographic information system) and compare to other data sets about the same place.",Harvard Map Collection,maps@harvard.edu,Bonnie Burns,http://hgl.harvard.edu:8080/opengeoportal/,"[""FAS; HGSE; GSD; HBS; HLS; HKS; HMS; HSDM; HSPH; SEAS""]","[""Faculty; Staff; Graduate Students; Undergraduates""]",No cost
IIIF Protocol Support,"[""Research Data Management; Storage""]",Consultation on use of the IIIF protocol within the context of the Japan platforms (e.g. IIIF Curation Platform - Cultural Japan) and the benefits of using them to store your information and data.,Japan Digital Research Center,"Matsuura, Katherine K. <kmatsuura@fas.harvard.edu>",Japan Digital Research Center,https://projects.iq.harvard.edu/jdrc,"[""FAS; HGSE; GSD; HBS; HLS; HKS; HMS; HSDM; HSPH; SEAS""]","[""Faculty; Graduate Students""]",No Cost
nVivo,"[""Processing; Analysis""]",Access to and support for nVivo: a qualitative data analysis platform designed for working with rich text-based and multimedia information on levels of deep analysis and in large volumes.,Harvard Kennedy School Library,library_research@hks.harvard.edu,Keely Wilczek,https://guides.library.harvard.edu/hks/data_resources,"[""HKS""]","[""Faculty; Graduate Students""]",No cost
Policy Map,"[""Processing; Analysis""]","Providing Geographical information systems (GIS) and mapping tools for students such as SimplyAnalysitcs, Policy Map, Social Explorer, ArcGIS Desktop Licenses, Google Earth Pro, SketchUp Pro, Rhino Terrain.",Frances Loeb Library,Bruce Boucek; bboucek@gsd.harvard.edu,Bruce Boucek,https://guides.library.harvard.edu/gsd/gis/software,"[""GSD""]","[""Graduate Students""]",No cost
Policy Map,"[""Processing; Analysis""]","Access to, and support for PolicyMap: a data warehouse of over 50,000 indicators accessible through a state-of-the-art mapping and analytics platform.",Harvard Kennedy School Library,library_research@hks.harvard.edu,Keely Wilczek,https://guides.library.harvard.edu/hks/data_resources,"[""HKS""]","[""Faculty; Graduate Students""]",No cost
Policy Map,"[""Processing; Analysis""]",The Harvard Library subscribes to many different online cartographic data exploration platforms. Librarians from the Map Collection can help you determine which application contains the right data and tools for your research needs.,Harvard Map Collection,maps@harvard.edu,Scott Walker,https://guides.library.harvard.edu/gsd/gis/software,"[""FAS; HGSE; GSD; HBS; HLS; HKS; HMS; HSDM; HSPH; SEAS""]","[""Faculty; Staff; Graduate Students; Undergraduates""]",No cost
QGIS,"[""Processing; Analysis""]","Providing Geographical information systems (GIS) and mapping tools for students such as SimplyAnalysitcs, Policy Map, Social Explorer, ArcGIS Desktop Licenses, Google Earth Pro, SketchUp Pro, Rhino Terrain.",Frances Loeb Library,Bruce Boucek; bboucek@gsd.harvard.edu,Bruce Boucek,https://guides.library.harvard.edu/gsd/gis/software,"[""GSD""]","[""Graduate Students""]",No cost
QGIS,"[""Processing; Analysis""]","Librarians in the The Harvard Map Collection have expertise working with QGIS, the most powerful and flexible free and open source GIS analysis program. We can provide guidance in installing and using QGIS and the associated software libraries.",Harvard Map Collection,maps@harvard.edu,Scott Walker,https://library.harvard.edu/services-tools/digital-mapping-and-gis-support,"[""FAS; HGSE; GSD; HBS; HLS; HKS; HMS; HSDM; HSPH; SEAS""]","[""Faculty; Staff; Graduate Students; Undergraduates""]",No cost
Qualitative Data Support,"[""Processing; Analysis""]","We offer workshops, consultations, and other guidance on qualitative data analysis methods and software, with a particular emphasis on workshops and consultations for NVivo. We also support other QDA software options such as Taguette, Atlas.ti, and MaxQDA. Workshop offerings have included NVivo for Literature Reviews, Importing and Analyzing Social Media Data with NVivo, Text as Data, Comparing QDA Tools, Interviewing Skills, and Preparing for Remote Fieldwork.","Harvard College Library, Services for Academic Programs (SAP)",Hugh Truslow; truslow@fas.harvard.edu,Hugh Truslow and Ramona Crawford,https://guides.library.harvard.edu/qualitative,"[""FAS; HGSE; GSD; HBS; HLS; HKS; HMS; HSDM; HSPH; SEAS""]","[""Faculty; Staff; Graduate Students; Undergraduates""]",No cost
Qualitative Data Support,"[""Processing; Analysis""]",Data analysis consultations and assistance for faculty and students for humanities and social science research,Digital Scholarship Support Group,dssg@fas.harvard.edu,Digital Scholarship Support Group Standing Committee,https://dssg.fas.harvard.edu/initiatives/research/,"[""FAS; HGSE; GSD; HBS; HLS; HKS; HMS; HSDM; HSPH; SEAS""]","[""Faculty; Staff; Graduate Students; Undergraduates""]",No cost
Qualitative Data Support,"[""Processing; Analysis""]","Consultations and/or instruction associated with all types of data analysis, including text analysis and education on software for that purpose such as ArcGIS,PolicyMap, Social Explorere, R, nVivo, Stata, Tableau, and OpenRefine. Inclusive of qualitative data analysis methods and software for HKS students in pursuit of their Policy Analysis Exercise (PAE).",Harvard Kennedy School Library,library_research@hks.harvard.edu,Christina Sirois,https://guides.library.harvard.edu/hks/data_resources,"[""HKS""]","[""Faculty; Graduate Students""]",No cost
Quantitative Data Support,"[""Processing; Analysis""]",Data analysis consultations and assistance for faculty and students for humanities and social science research,Digital Scholarship Support Group,dssg@fas.harvard.edu,Digital Scholarship Support Group Standing Committee,https://dssg.fas.harvard.edu/initiatives/research/,"[""FAS; HGSE; GSD; HBS; HLS; HKS; HMS; HSDM; HSPH; SEAS""]","[""Faculty; Staff; Graduate Students; Undergraduates""]",No cost
Quantitative Data Support,"[""Processing; Analysis""]","Consultations and/or instruction associated with all types of data analysis text analysis and education on software for that purpose such as ArcGIS,PolicyMap, Social Explorere, R, nVivo, Stata, Tableau, and OpenRefine.",Harvard Kennedy School Library,library_research@hks.harvard.edu,Christina Sirois,https://guides.library.harvard.edu/hks/data_resources,"[""HKS""]","[""Faculty; Graduate Students""]",No cost
R,"[""Processing; Analysis""]","Access to and support for R: a programming language and software environment for statistical computing, data analysis, and graphics.",Harvard Kennedy School Library,library_research@hks.harvard.edu,Keely Wilczek,https://guides.library.harvard.edu/hks/data_resources,"[""HKS""]","[""Faculty; Graduate Students""]",No cost
Rhino Terrain,"[""Processing; Analysis""]","Providing Geographical information systems (GIS) and mapping tools for students such as SimplyAnalysitcs, Policy Map, Social Explorer, ArcGIS Desktop Licenses, Google Earth Pro, SketchUp Pro, Rhino Terrain.",Frances Loeb Library,Bruce Boucek; bboucek@gsd.harvard.edu,Bruce Boucek,https://guides.library.harvard.edu/gsd/gis/software,"[""GSD""]","[""Graduate Students""]",No cost
Sensemaking Technology Support,"[""Processing; Analysis""]",Consultations on artificial intelligence (AI) for corpus analysis and immersive analytics (VR-based data analysis),Harvard Library Digital Scholarship Program,matt_cook@harvard.edu,HL Digital Scholarship Program Manager,,"[""FAS; HGSE; GSD; HBS; HLS; HKS; HMS; HSDM; HSPH; SEAS""]","[""Faculty; Staff; Graduate Students; Undergraduates""]",No Cost
SimplyAnalytics,"[""Processing; Analysis""]","Providing Geographical information systems (GIS) and mapping tools for students such as SimplyAnalysitcs, Policy Map, Social Explorer, ArcGIS Desktop Licenses, Google Earth Pro, SketchUp Pro, Rhino Terrain.",Frances Loeb Library,Bruce Boucek; bboucek@gsd.harvard.edu,Bruce Boucek,https://guides.library.harvard.edu/gsd/gis/software,"[""GSD""]","[""Graduate Students""]",No cost
SimplyAnalytics,"[""Processing; Analysis""]",The Harvard Library subscribes to many different online cartographic data exploration platforms. Librarians from the Map Collection can help you determine which application contains the right data and tools for your research needs.,Harvard Map Collection,maps@harvard.edu,Scott Walker,https://guides.library.harvard.edu/gsd/gis/software,"[""FAS; HGSE; GSD; HBS; HLS; HKS; HMS; HSDM; HSPH; SEAS""]","[""Faculty; Staff; Graduate Students; Undergraduates""]",No cost
